VALUES
0,281936769
0,384409197
-0,207033306
-1,250069531
-0,078540644
-1,253125026
-0,642219636
1,180963794
-0,007847411
-0,338136694
0,190340097
-0,576859515
0,027766002
-1,750814349
0,78576129
-1,060648695
-1,0813174
1,272032987
0,801004229
-1,207128624
1,170690671
0,447944109
-0,997480826
1,758431829
-0,747121829
-1,266640433
0,398093442
-1,095244861
1,293978294
0,061510086
-1,083447159
0,239394979
-1,65351442
-0,632572503
0,888264687
-1,213192921
-1,664293673
-1,246262334
-2,058376312
-0,050611716
0,559407354
-0,482439867
0,232048866
-0,374035315
0,014228233
-0,096825032
0,22589782
1,745101279
1,268227294
-1,414943972
-0,081176101
-0,138160112
-0,060587429
-0,821104573
0,768995889
0,153263699
-1,571047115
1,319700693
-0,327049176
0,789268701
1,926703353
-1,024218929
-0,599461482
0,128687403
-0,572532429
0,952224611
0,258282008
0,421234049
-0,77283262
0,862249263
-1,127328099
1,592159764
1,809208047
0,182345603
-1,749358849
-0,078107514
1,040125684
1,416583861
3,089287497
0,001655341
-0,384307581
1,273635433
0,785664846
-2,014288315
0,606611546
0,75046789
-0,91869212
-0,838302088
1,417699758
-0,936257568
1,380787364
-0,396522906
-1,07528694
-0,750465763
-1,152298913
1,010335702
0,209079569
1,248591066
-0,081482977
0,242038766
0,398406682
-0,527871467
1,223174102
-0,152682203
-0,172357162
0,045329344
0,147227259
-1,232632866
-1,392325291
-0,060534656
-0,073066234
-0,730198253
1,220296476
-1,79753595
-0,362492916
-1,231755737
0,521156235
-1,898382743
-0,501462174
1,013093743
0,764498719
-1,415911365
-1,336179115
3,032477814
-0,851240518
0,380738747
0,50373947
-0,605435718
1,174571495
-0,19595931
-0,175919843
1,115996568
-1,539191442
0,152189499
0,764763082
-0,814510518
0,750182503
0,714374578
-1,012928541
-0,029251795
0,120777256
-0,263133758
-0,245176689
-0,074316138
1,289379735
1,604090343
0,712008032
-0,742464745
-0,766871715
-0,410071029
0,02122473
-2,591694358
0,017444597
0,340936076
-1,320703584
-0,825854851
2,374080918
-1,654352958
0,784990937
-0,899420875
-0,200169102
1,162437898
1,25534007
-0,862054574
0,852490983
2,113660853
-0,366499549
0,687803396
-0,363497303
1,681037412
-1,152845035
-1,160246903
-0,847465314
0,207677084
-0,155063863
-0,122998804
-1,813351971
0,030690824
-0,212950478
0,83914895
1,437521928
0,997700393
1,30619546
0,491635455
1,591868329
-1,552547522
-0,76545474
0,729768468
0,872444325
0,682518053
2,487940727
-0,384056768
-0,595571695
0,222349895
-0,333729897
1,423672039
1,136565824
0,141594199
-0,403840795
2,189772172
