/*********************************************
 * OPL 12.6.0.0 Data
 * Author: root
 * Creation Date: 21/06/2016 at 12:59:27
 *********************************************/
nTrucks=2;
nPackages=12;
xTruck=5;
yTruck=5;
wTruck=1000;
xDimp=[2 3 1 2 2 2 2 3 1 2 2 2];
yDimp=[2 2 3 1 2 3 2 2 3 1 2 3];
wp=[3 2 2 2 2 2 3 2 2 2 2 2];
incomp=[
 [0 0 0 0 0 0  0 0 0 0 0 0]
 [0 0 0 0 0 0  0 0 0 0 0 0]
 [0 0 0 0 0 0  0 0 0 0 0 0]
 [0 0 0 0 0 0  0 0 0 0 0 0]
 [0 0 0 0 0 0  0 0 0 0 0 0]
 [0 0 0 0 0 0  0 0 0 0 0 0]
 
 [0 0 0 0 0 0  0 0 0 0 0 0]
 [0 0 0 0 0 0  0 0 0 0 0 0]
 [0 0 0 0 0 0  0 0 0 0 0 0]
 [0 0 0 0 0 0  0 0 0 0 0 0]
 [0 0 0 0 0 0  0 0 0 0 0 0]
 [0 0 0 0 0 0  0 0 0 0 0 0]];
