/*********************************************
 * OPL 12.6.0.0 Data
 * Author: root
 * Creation Date: 21/06/2016 at 16:38:04
 *********************************************/
nTrucks=4;
nPackages=16;
xTruck=5;
yTruck=5;
wTruck=10;
xDimp=[5 2 3 3 3 5 2 3 2 5 4 1 3 3 2 2];
yDimp=[2 3 1 2 2 1 2 2 2 3 2 2 3 1 2 2];
wp=[1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1];
incomp=[
 [0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0] 
 [0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0]
 [0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0]
 [0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0]
 [0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0]
 [0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0]
 [0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0]
 [0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0]
 [0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0]
 [0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0]
 [0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0]
 [0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0]
 [0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0]
 [0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0]
 [0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0]
 [0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0]];
 
