/*********************************************
 * OPL 12.6.0.0 Data
 * Author: root
 * Creation Date: 21/06/2016 at 17:18:36
 *********************************************/

nTrucks=4;
nPackages=21;
xTruck=5;
yTruck=5;
wTruck=1000;
xDimp=[2 3 1 2 2 2 2 3 1 2 2 2 2 3 1 2 2 2 2 3 3];
yDimp=[2 2 3 1 2 3 2 2 3 1 2 3 2 2 3 1 2 3 2 2 2];
wp=[3 2 2 2 2 2 3 2 2 2 2 2 3 2 2 2 2 2 2 2 2];
incomp=[
 [0 0 0 0 0 0  0 0 0 0 0 0  0 0 0 0 0 0  0 0 0]
 [0 0 0 0 0 0  0 0 0 0 0 0  0 0 0 0 0 0  0 0 0]
 [0 0 0 0 0 0  0 0 0 0 0 0  0 0 0 0 0 0  0 0 0]
 [0 0 0 0 0 0  0 0 0 0 0 0  0 0 0 0 0 0  0 0 0]
 [0 0 0 0 0 0  0 0 0 0 0 0  0 0 0 0 0 0  0 0 0]
 [0 0 0 0 0 0  0 0 0 0 0 0  0 0 0 0 0 0  0 0 0]
 
 [0 0 0 0 0 0  0 0 0 0 0 0  0 0 0 0 0 0  0 0 0]
 [0 0 0 0 0 0  0 0 0 0 0 0  0 0 0 0 0 0  0 0 0]
 [0 0 0 0 0 0  0 0 0 0 0 0  0 0 0 0 0 0  0 0 0]
 [0 0 0 0 0 0  0 0 0 0 0 0  0 0 0 0 0 0  0 0 0]
 [0 0 0 0 0 0  0 0 0 0 0 0  0 0 0 0 0 0  0 0 0]
 [0 0 0 0 0 0  0 0 0 0 0 0  0 0 0 0 0 0  0 0 0]
 
 [0 0 0 0 0 0  0 0 0 0 0 0  0 0 0 0 0 0  0 0 0]
 [0 0 0 0 0 0  0 0 0 0 0 0  0 0 0 0 0 0  0 0 0]
 [0 0 0 0 0 0  0 0 0 0 0 0  0 0 0 0 0 0  0 0 0]
 [0 0 0 0 0 0  0 0 0 0 0 0  0 0 0 0 0 0  0 0 0]
 [0 0 0 0 0 0  0 0 0 0 0 0  0 0 0 0 0 0  0 0 0]
 [0 0 0 0 0 0  0 0 0 0 0 0  0 0 0 0 0 0  0 0 0]
 [0 0 0 0 0 0  0 0 0 0 0 0  0 0 0 0 0 0  0 0 0]
 [0 0 0 0 0 0  0 0 0 0 0 0  0 0 0 0 0 0  0 0 0]
 [0 0 0 0 0 0  0 0 0 0 0 0  0 0 0 0 0 0  0 0 0]];
